epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2692,1.79757,2.21996,1.10609,0.37132,0.14582,0.11606,0.06255,1.67657,1.40557,1.05585,0.000301711,0.000301711,0.000301711
2,73.2201,1.67438,1.37409,1.06927,0.41059,0.15923,0.13619,0.0727,1.62985,1.23338,1.0523,0.000580764,0.000580764,0.000580764
3,114.435,1.65945,1.30947,1.06931,0.47425,0.15405,0.1407,0.07636,1.6249,1.23736,1.06981,0.00083582,0.00083582,0.00083582
4,158.23,1.61882,1.25353,1.0588,0.413,0.19821,0.15252,0.08157,1.57013,1.20283,1.04317,0.000801011,0.000801011,0.000801011
5,201.951,1.59419,1.18921,1.048,0.43888,0.20192,0.16556,0.08956,1.54853,1.16315,1.02893,0.000765014,0.000765014,0.000765014
6,243.352,1.57539,1.16045,1.03836,0.49056,0.18917,0.17088,0.09468,1.51859,1.05758,1.02728,0.000729018,0.000729018,0.000729018
7,279.638,1.54054,1.11805,1.02621,0.47705,0.20429,0.17174,0.09416,1.4927,1.07394,1.01723,0.000693022,0.000693022,0.000693022
8,315.039,1.52874,1.09525,1.02539,0.32881,0.24381,0.19201,0.10472,1.49083,1.03367,1.02009,0.000657025,0.000657025,0.000657025
9,350.578,1.5168,1.0665,1.01893,0.34814,0.23364,0.19726,0.1077,1.46209,1.01105,1.00654,0.000621029,0.000621029,0.000621029
10,385.711,1.48943,1.03845,1.01085,0.39623,0.23023,0.20866,0.11291,1.46314,0.99054,1.00241,0.000585032,0.000585032,0.000585032
11,426.847,1.48554,1.03037,1.00713,0.43747,0.25886,0.21604,0.11802,1.46113,0.98741,1.00024,0.000549036,0.000549036,0.000549036
12,471.898,1.48858,1.02507,1.00819,0.39789,0.25254,0.21414,0.12142,1.43413,0.97797,0.99828,0.00051304,0.00051304,0.00051304
13,515.209,1.47713,1.01601,1.0061,0.36908,0.24847,0.22429,0.12398,1.44003,0.96656,1.00482,0.000477043,0.000477043,0.000477043
14,558.308,1.4469,0.97909,1.00053,0.37238,0.24586,0.22565,0.12524,1.45015,0.96818,1.00042,0.000441047,0.000441047,0.000441047
15,601.373,1.44034,0.98654,0.99113,0.48,0.27166,0.24153,0.1341,1.42951,0.95239,0.99663,0.00040505,0.00040505,0.00040505
16,651.401,1.46038,0.97154,0.99014,0.42681,0.24435,0.22265,0.12442,1.43742,0.96447,1.00153,0.000369054,0.000369054,0.000369054
17,694.135,1.45882,0.95951,0.98673,0.39412,0.2401,0.22853,0.12543,1.41532,0.94713,0.99203,0.000333058,0.000333058,0.000333058
18,736.883,1.44028,0.93003,0.97677,0.46149,0.25649,0.23918,0.1364,1.42935,0.93489,0.99857,0.000297061,0.000297061,0.000297061
19,778.801,1.43467,0.92949,0.98005,0.42779,0.26406,0.24465,0.13864,1.43193,0.93119,0.99901,0.000261065,0.000261065,0.000261065
20,821.79,1.4196,0.90853,0.972,0.45917,0.25937,0.24802,0.13923,1.41783,0.92199,0.99054,0.000225068,0.000225068,0.000225068
21,864.281,1.41951,0.89816,0.9725,0.44811,0.26975,0.24779,0.13663,1.4088,0.92121,0.99058,0.000189072,0.000189072,0.000189072
22,904.756,1.39356,0.87867,0.96791,0.44538,0.25555,0.24407,0.13438,1.41197,0.91225,0.98484,0.000153076,0.000153076,0.000153076
23,946.387,1.39932,0.87222,0.96365,0.45559,0.26873,0.25379,0.14264,1.39038,0.89612,0.98052,0.000117079,0.000117079,0.000117079
24,988.261,1.37924,0.85906,0.95935,0.43024,0.2762,0.24753,0.14058,1.37971,0.89293,0.97831,8.10828e-05,8.10828e-05,8.10828e-05
25,1030.43,1.36954,0.85127,0.9574,0.46253,0.27593,0.25466,0.14507,1.38152,0.88754,0.97988,4.50864e-05,4.50864e-05,4.50864e-05
