epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.036,2.762,2.81542,1.18483,0.57685,0.02275,0.02438,0.01036,2.61186,2.0432,1.13731,0.000302838,0.000302838,0.000302838
2,333.269,2.69807,2.04778,1.1057,0.55974,0.02817,0.02603,0.01088,2.56781,1.80339,1.12612,0.000530866,0.000530866,0.000530866
3,505.507,2.62804,1.92684,1.10459,0.46546,0.0448,0.02935,0.0131,2.54643,1.72005,1.12392,0.000683901,0.000683901,0.000683901
4,729.517,2.61583,1.85812,1.08476,0.48432,0.03667,0.03011,0.01331,2.47185,1.67881,1.11526,0.000571534,0.000571534,0.000571534
5,964.763,2.58138,1.78142,1.06496,0.33327,0.03918,0.03867,0.01904,2.34869,1.53565,1.07999,0.000459045,0.000459045,0.000459045
6,1197.32,2.47007,1.69789,1.05757,0.27821,0.04482,0.03722,0.01668,2.32388,1.50064,1.0641,0.000346556,0.000346556,0.000346556
7,1424.77,2.41768,1.64732,1.0293,0.11059,0.053,0.03911,0.0183,2.31207,1.42839,1.06191,0.000234068,0.000234068,0.000234068
8,1693.25,2.39921,1.60005,1.04394,0.11915,0.05554,0.0389,0.01865,2.26758,1.4476,1.05588,0.000121579,0.000121579,0.000121579
